image_url,bytes,pages,occurrences,classes,example_page
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4e9f38f0f320bf1684e24d_6a44f3a0d8e9184c17c0d254_Sk%25C3%25A6rmbillede%25202026-07-01%2520kl.%252012.59.28.png,843213,8,16,mobile_thumb;desktop_thumbnails;paralax-image-mobile;paralax-image-2;mobile_thumbs,https://www.aproposmagazine.com/en
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2968466ffddda211065527_webflow%252Fthumb-images%252F2026%252F06%252Fwonderfestiwall-thumb-2400w-104fhj.webp,746682,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/wonderfestiwall
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29688db4a7897a8132e318_webflow%252Fthumb-images%252F2026%252F06%252Fthe-last-of-us-max-nar-kaerlighed-bliver-en-kampplads-thumb-2400w-xcdaz8.webp,659776,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/the-last-of-us-max-nar-kaerlighed-bliver-en-kampplads
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2967376ffddda21106075b_webflow%252Fthumb-images%252F2026%252F06%252Fwe-love-green-thumb-2400w-12b34y.webp,643172,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/we-love-green
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2967c3a352d5f401342faf_webflow%252Fthumb-images%252F2026%252F06%252Fkesi-i-royal-arena-2025-en-krone-pa-dansk-rap-thumb-2400w-rm0yj0.webp,1067254,6,6,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/kesi-i-royal-arena-2025-en-krone-pa-dansk-rap
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2966c157c4c1e93165ea34_webflow%252Fthumb-images%252F2026%252F06%252Fmnemic-copenhell-tilbage-med-selvtillid-og-sved-pa-panden-thumb-2400w-d8pog.webp,680020,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/mnemic-copenhell-tilbage-med-selvtillid-og-sved-pa-panden
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296620abed7ed9d5d7f9f7_webflow%252Fthumb-images%252F2026%252F06%252Furo-wonderfestiwall-sol-energi-og-en-suspekt-overraskelse-thumb-2400w-vhv6i8.webp,610676,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/uro-wonderfestiwall-sol-energi-og-en-suspekt-overraskelse
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4e9f4456b51559df723485_6a44f36df8cea21f61784bf3_Sk%25C3%25A6rmbillede%25202026-07-01%2520kl.%252012.59.22.png,868400,7,7,paralax-image-mobile;mobile_thumbs;mobile_thumb,https://www.aproposmagazine.com/en/articles/copenhell-thursday-ai-dystopia-kilts-and-the-worlds-longest-guitar-solo
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a4e9f4456b51559df723482_6a44f36df8cea21f61784bf3_Sk%25C3%25A6rmbillede%25202026-07-01%2520kl.%252012.59.22.png,868400,7,7,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/en/articles/copenhell-thursday-ai-dystopia-kilts-and-the-worlds-longest-guitar-solo
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2968b0a1e62fb9c2f9f799_webflow%252Fthumb-images%252F2026%252F06%252Freacher-saeson-3-thumb-2400w-iwszs3.webp,605274,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/reacher-saeson-3
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2965d30249c48a48a37f15_webflow%252Fthumb-images%252F2026%252F06%252Fanmeldelse-silksong-thumb-2400w-o7qsyv.webp,755972,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/anmeldelse-silksong
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29689e8369333d9023ffc8_webflow%252Fthumb-images%252F2026%252F06%252Fwhite-lotus-saeson-3-paradis-med-tomgang-i-sandet-thumb-2400w-1418pq.webp,591612,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/white-lotus-saeson-3---paradis-med-tomgang-i-sandet
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2968c9c3538b0f5dde22cd_webflow%252Fthumb-images%252F2026%252F06%252Fbaby-reindeer-thumb-2400w-azdvwp.webp,591180,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/baby-reindeer
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a3a959041a041229fbc7ab4_webflow%252Fthumb-images%252F2026%252F06%252Flp-pa-heartland-festival-2026-rockstemme-i-30-graders-skygge-thumb-2400w-yv5l83.webp,843276,7,7,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/lp-pa-heartland-festival-2026-rockstemme-i-30-graders-skygge
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2967cca352d5f401343448_webflow%252Fthumb-images%252F2026%252F06%252Fspot-festival-dag-1-thumb-2400w-11e41p.webp,590110,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/spot-festival-dag-1
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a29681e57e2faa73a1c737f_webflow%252Fthumb-images%252F2026%252F06%252Fapropos-guide-fredag-pa-roskilde-festival-2025-thumb-2400w-1e6hsr.webp,637740,9,9,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/apropos-guide-fredag-pa-roskilde-festival-2025
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a2968a6ab2480db85c2085b_webflow%252Fthumb-images%252F2026%252F06%252Fthe-boys-saeson-4-thumb-2400w-t3tkf.webp,573318,10,10,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/the-boys-saeson-4
https://cdn.prod.website-files.com/67dbf17ba540975b5b21c233/6a296567c787b4e152cea1b5_webflow%252Fthumb-images%252F2026%252F06%252Fholdo-ideal-bar-thumb-2400w-qcgmhy.webp,705116,8,8,paralax-image-2;desktop_thumbnails,https://www.aproposmagazine.com/articles/holdo-ideal-bar
